"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","248","Несуществующий id - 404 и сообщение об ошибке","tests","2026-05-13","passed","2026-05-13","TestDeleteCourier","test_delete_courier","",""
"","319","Успешный запрос возвращает объект заказа","tests","2026-05-13","passed","2026-05-13","TestGetOrderByTrack","test_get_order_by_track","",""
"","279","Пустой body - ошибка недостаточно данных","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_create_courier","",""
"","298","Создание заказа с разными вариантами цвета","tests","2026-05-13","passed","2026-05-13","TestCreateOrder","test_create_order","",""
"","286","Без номера заказа - ошибка","tests","2026-05-13","passed","2026-05-13","TestGetOrderByTrack","test_get_order_by_track","",""
"","275","Без id заказа в пути - 404 Not Found","tests","2026-05-13","passed","2026-05-13","TestAcceptOrder","test_accept_order","",""
"","318","Несуществующий track - 404, заказ не найден","tests","2026-05-13","passed","2026-05-13","TestGetOrderByTrack","test_get_order_by_track","",""
"","296","Неуспешное удаление: в JSON ответе - сообщение об ошибке","tests","2026-05-13","passed","2026-05-13","TestDeleteCourier","test_delete_courier","",""
"","256","Нет поля login в body - 400","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_login_courier","",""
"","270","Успешное удаление: 200 и ok: true","tests","2026-05-13","passed","2026-05-13","TestDeleteCourier","test_delete_courier","",""
"","569","Два одинаковых курьера создать нельзя","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_create_courier","",""
"","358","Несуществующий courierId - 404 и сообщение","tests","2026-05-13","passed","2026-05-13","TestOrdersList","test_orders_list","",""
"","354","Неверный логин - 404, учётная запись не найдена","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_login_courier","",""
"","282","При успехе приходит 201 и ok: true","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_create_courier","",""
"","264","Неверный id заказа - 404","tests","2026-05-13","passed","2026-05-13","TestAcceptOrder","test_accept_order","",""
"","258","Без логина или без пароля сервер отвечает 400","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_create_courier","",""
"","260","Успешный ответ содержит id курьера","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_login_courier","",""
"","279","Успешное создание курьера","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_create_courier","",""
"","270","Без логина или без пароля сервер отвечает 400","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_create_courier","",""
"","267","Несуществующая пара логин-пароль - 404","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_login_courier","",""
"","302","Создание заказа с разными вариантами цвета","tests","2026-05-13","passed","2026-05-13","TestCreateOrder","test_create_order","",""
"","253","Неверный пароль - 404, учётная запись не найдена","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_login_courier","",""
"","296","Без courierId - 400","tests","2026-05-13","passed","2026-05-13","TestAcceptOrder","test_accept_order","",""
"","316","Создание заказа с разными вариантами цвета","tests","2026-05-13","passed","2026-05-13","TestCreateOrder","test_create_order","",""
"","290","Без логина в body (только пароль) - 400","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_login_courier","",""
"","301","Создание заказа с разными вариантами цвета","tests","2026-05-13","passed","2026-05-13","TestCreateOrder","test_create_order","",""
"","310","Неверный id курьера - 404","tests","2026-05-13","passed","2026-05-13","TestAcceptOrder","test_accept_order","",""
"","327","Без имени: на стенде всё равно 201 (расходится со Swagger)","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_create_courier","",""
"","11351","В ответе возвращается список заказов","tests","2026-05-13","passed","2026-05-13","TestOrdersList","test_orders_list","",""
"","252","Курьер может авторизоваться","tests","2026-05-13","passed","2026-05-13","TestLoginCourier","test_login_courier","",""
"","313","Успешное принятие: ok: true","tests","2026-05-13","passed","2026-05-13","TestAcceptOrder","test_accept_order","",""
"","575","Тот же логин и другой пароль - занято","tests","2026-05-13","passed","2026-05-13","TestCreateCourier","test_create_courier","",""
"","295","Без id в пути - 404 (на стенде текст Not Found.)","tests","2026-05-13","passed","2026-05-13","TestDeleteCourier","test_delete_courier","",""
